Date,Blackout,Notes (Blackout),Showered in morning,Notes (Showered in morning),Hrs Sleep: <6.5'6.5-7.5'7.5+,Notes (Hrs Sleep: <6.5'6.5-7.5'7.5+),Woke up during night,Notes (Woke up during night),Tired at night,Notes (Tired at night),Happy (woke up),Notes (Happy (woke up)),Happy (throughout day),Notes (Happy (throughout day)),Worked/studied 3+'6+ hrs,Notes (Worked/studied 3+'6+ hrs),Productive @ work,Notes (Productive @ work),Ate well,Notes (Ate well),2x coffee neutral' 3+ bad,Notes (2x coffee neutral' 3+ bad),No Alcohol (one drink=neut),Notes (No Alcohol (one drink=neut)),Bike,Notes (Bike),Miles: <6'6-9'9+,Notes (Miles: <6'6-9'9+),Fatigued on run,Notes (Fatigued on run),Hard running workout,Notes (Hard running workout),Saw pru,Notes (Saw pru),Blazed,Notes (Blazed),Saw john/Caleb/friends,Notes (Saw john/Caleb/friends),Read/podcasts/learned,Notes (Read/podcasts/learned),Sex,Notes (Sex),hu,Notes (hu),Good sex,Notes (Good sex),Wack,Notes (Wack),Porn,Notes (Porn),Felt aggressive/got angry,Notes (Felt aggressive/got angry),Travelled (num hours),Notes (Travelled (num hours)),Very deep conversation,Notes (Very deep conversation)
8/15/2015,No,-,No,-,Yes,7.5,No,-,No,-,Yes,-,Yes,-,No,-,Skip,-,Yes,-,Skip,-,No,-,No,-,Yes,14,No,-,Yes,-,Yes,-,-,-,Yes,-,No,-,Yes,-,-,-,Yes,-,No,-,No,-,No,-,No,-,No,-
8/16/2015,No,-,No,-,Yes,8,No,-,Yes,-,Yes,-,Yes,-,No,-,Skip,-,No,-,Yes,-,Yes,-,No,-,Skip,8,Yes,-,No,-,Yes,-,Yes,-,Yes,-,Yes,-,Yes,-,-,-,Yes,-,No,-,No,-,No,-,No,-,No,-
8/17/2015,No,-,No,-,Yes,7.5,No,-,Yes,-,Yes,-,Yes,-,No,-,Skip,-,No,-,Yes,-,Skip,-,No,-,No,5,Yes,-,No,-,Yes,-,No,-,No,-,No,-,Yes,-,-,-,Yes,-,No,-,No,-,No,-,No,-,Yes,-
8/18/2015,No,-,Yes,-,Yes,8,Yes,-,No,-,Yes,-,Yes,-,No,-,Skip,-,Yes,-,Yes,-,No,-,No,-,Yes,10,No,-,Yes,-,Yes,-,No,-,No,-,No,-,Yes,-,-,-,Yes,-,No,-,No,-,No,-,No,-,Yes,-
8/19/2015,No,-,Yes,-,No,2.5,Yes,-,Yes,-,Yes,-,Yes,-,Yes,-,Yes,-,No,-,Yes,-,No,-,No,-,Skip,8.5,No,-,No,-,Yes,-,Yes,-,Yes,-,No,-,Yes,-,-,-,Yes,-,No,-,No,-,No,-,No,-,No,-
8/20/2015,No,-,No,-,Yes,8,No,-,No,-,Yes,-,Yes,-,Yes,-,Yes,-,Yes,-,Yes,-,No,-,No,-,Skip,8,No,-,Yes,-,Yes,-,No,-,Yes,-,No,-,Yes,-,-,-,Yes,-,No,-,No,-,No,-,No,-,Yes,-
8/21/2015,Yes,-,Yes,-,No,1,No,-,Yes,-,Yes,-,Yes,-,No,-,Skip,-,Yes,-,Yes,-,No,-,No,-,No,0,Yes,-,No,-,No,-,No,-,Yes,-,No,-,No,-,-,-,Skip,-,No,-,No,-,No,-,Yes,10,No,-
8/22/2015,No,-,No,-,Yes,12,No,-,No,-,No,-,Yes,-,No,-,Skip,-,Yes,-,Yes,-,No,-,No,-,No,0,Yes,-,No,-,No,-,Yes,-,Yes,-,No,-,No,-,-,-,Skip,-,Yes,-,Yes,-,No,-,No,-,No,-
8/23/2015,No,-,Yes,-,No,0,Yes,-,No,-,Yes,-,No,-,No,-,Skip,-,Skip,-,Yes,-,No,-,No,-,Yes,14,No,-,Yes,-,No,-,Yes,-,Yes,-,No,-,No,-,-,-,Skip,-,Yes,-,Yes,-,No,-,No,-,No,-
8/24/2015,No,-,Yes,-,Skip,7,No,-,No,-,Yes,-,Yes,-,No,-,Skip,-,Yes,-,Skip,-,No,-,No,-,Yes,12,Yes,-,No,-,No,-,Yes,-,Yes,-,No,-,Yes,-,-,-,No,-,No,-,No,-,No,-,No,-,No,-
8/25/2015,No,-,No,-,Skip,7,Yes,-,No,-,Yes,-,Yes,-,Yes,-,Yes,-,Yes,-,Yes,-,Yes,-,No,-,Yes,10,No,-,Yes,-,No,-,No,-,Yes,-,No,-,No,-,-,-,Skip,-,Yes,-,Yes,-,No,-,No,-,No,-
8/26/2015,No,-,Yes,-,No,6,Yes,-,Yes,-,Yes,-,Yes,-,Yes,-,Yes,-,Yes,-,Yes,-,Yes,-,No,-,Skip,8,No,-,No,-,No,-,Yes,-,Yes,-,Yes,-,No,-,-,-,Skip,-,Yes,-,Yes,-,No,-,No,-,No,-
8/27/2015,No,-,Yes,-,Skip,7,No,-,Yes,-,Yes,-,Yes,-,Yes,-,Yes,-,Yes,-,Yes,-,No,-,No,-,Yes,9,No,-,No,-,No,-,No,-,Yes,-,Yes,-,No,-,-,-,Skip,-,Yes,-,Yes,-,Yes,-,No,-,No,-
8/28/2015,No,-,Yes,-,Yes,7.5,No,-,Skip,-,Yes,-,Yes,-,Yes,-,Yes,-,No,-,Yes,-,Yes,-,No,-,Yes,10,No,-,No,-,No,-,Yes,-,Yes,-,Yes,-,No,-,-,-,Skip,-,Yes,-,No,-,No,-,No,-,No,-
8/29/2015,No,-,Yes,-,Skip,6.75,No,-,Yes,-,Yes,-,Skip,-,No,-,Skip,-,No,-,Yes,-,No,-,No,-,Yes,9,Yes,-,No,-,No,-,-,-,Yes,-,No,-,No,-,-,-,Skip,-,Yes,-,No,-,No,-,No,-,No,-
8/30/2015,No,-,No,-,Skip,7.25,No,-,Yes,-,No,-,Yes,-,No,-,Skip,-,Yes,-,Yes,-,Yes,-,No,-,Yes,14,No,-,Yes,-,No,-,No,-,Yes,-,Yes,-,No,-,-,-,Skip,-,Yes,-,No,-,No,-,No,-,No,-
8/31/2015,No,-,Yes,-,Yes,8.75,No,-,No,-,Yes,-,Yes,-,Yes,-,Yes,-,Skip,-,Yes,-,Yes,-,No,-,Skip,7,Yes,-,No,-,No,-,No,-,Yes,-,Yes,-,No,-,-,-,Skip,-,Yes,-,Yes,-,No,-,No,-,No,-
9/1/2015,No,-,Yes,-,No,6.5,No,-,Yes,-,Yes,-,Yes,-,Yes,-,No,-,Skip,-,Yes,-,Yes,-,No,-,Yes,10,No,-,Yes,-,No,-,No,-,Yes,-,Yes,-,No,-,-,-,Skip,-,No,-,No,-,No,-,No,-,No,-
9/2/2015,No,-,Yes,-,Yes,8,No,-,Yes,-,Yes,-,No,-,Skip,-,No,-,No,-,Yes,-,Yes,-,No,-,Yes,14,Yes,-,No,-,No,-,No,-,Yes,-,Yes,-,No,-,-,-,Skip,-,Yes,-,Yes,-,No,-,No,-,No,-
9/3/2015,No,-,No,-,Skip,6.75,No,-,Yes,-,Skip,-,Skip,-,Skip,-,No,-,No,-,Yes,-,No,-,No,-,Yes,9.5,No,-,No,-,No,-,Yes,-,Yes,-,Yes,-,No,-,-,-,Skip,-,Yes,-,Yes,-,No,-,No,-,Yes,-
9/4/2015,No,-,No,-,Yes,7.75,No,-,No,-,Yes,-,Yes,-,Skip,-,Yes,-,Yes,-,Skip,-,No,-,No,-,No,3,No,-,No,-,No,-,No,-,Yes,-,Yes,-,No,-,-,-,Skip,-,No,-,No,-,No,-,No,-,No,-
9/5/2015,No,-,Yes,-,No,6.5,No,-,No,-,Yes,-,Yes,-,No,-,Skip,-,Yes,-,Skip,-,No,-,No,-,No,0,Skip,-,No,-,No,-,Yes,-,Yes,-,No,-,No,-,-,-,Skip,-,No,-,No,-,No,-,No,-,Yes,Acid
9/6/2015,No,-,Yes,-,No,6,No,-,Yes,-,Yes,-,Yes,-,No,-,Skip,-,Skip,-,Skip,-,No,-,No,-,No,4,No,-,No,-,No,-,Yes,-,Yes,-,No,-,No,-,-,-,Skip,-,No,-,No,-,No,-,No,-,No,-
9/7/2015,No,-,No,-,Yes,9,No,-,Skip,-,Yes,-,Yes,-,Skip,-,Yes,-,Skip,-,Skip,-,Yes,-,No,-,No,0.5,Yes,-,No,-,No,-,No,-,Yes,-,Yes,-,No,-,-,-,Skip,-,Yes,-,No,-,No,-,No,-,No,-
9/8/2015,No,-,Yes,-,No,6.5,Yes,-,Yes,-,Yes,-,Yes,-,Yes,-,Yes,-,No,-,Yes,-,Yes,-,No,-,Yes,17,No,-,Yes,-,No,-,No,-,Yes,-,Yes,-,No,-,-,-,Skip,-,Yes,-,No,-,No,-,No,-,No,-
9/9/2015,No,-,No,-,Skip,7,Yes,-,Yes,-,Yes,-,No,-,Yes,-,Yes,-,Yes,-,Yes,-,Yes,-,No,-,No,4.5,Yes,-,No,-,No,-,No,-,Yes,-,Yes,-,No,-,-,-,Skip,-,No,-,No,-,No,-,No,-,Yes,-
9/10/2015,No,-,Yes,-,Yes,7.75,No,-,Yes,-,Yes,-,No,-,Yes,-,Yes,-,No,-,Yes,-,Skip,-,No,-,No,2.5,Yes,-,No,-,No,-,Yes,-,Yes,-,Yes,-,No,-,-,-,Skip,-,Yes,-,No,-,No,-,No,-,No,-
9/11/2015,No,-,Yes,-,Yes,9,Yes,-,Yes,-,Yes,-,Yes,-,Yes,-,Yes,-,Yes,-,Yes,-,No,-,No,-,Yes,10,No,-,Yes,-,No,-,Yes,-,Yes,-,Yes,-,No,-,-,-,Skip,-,Yes,-,Yes,-,No,-,No,-,Yes,-
9/12/2015,No,-,Yes,-,No,6,No,-,No,-,Yes,-,Yes,-,Yes,-,Yes,-,Skip,-,Yes,-,No,-,No,-,Yes,9,No,-,No,-,No,-,Yes,-,Yes,-,Yes,-,No,-,-,-,Skip,-,Yes,-,Yes,-,No,-,No,-,No,-
9/13/2015,No,-,Yes,-,No,6,Yes,-,Yes,-,Yes,-,Yes,-,Yes,-,Yes,-,Skip,-,Yes,-,Yes,-,Yes,3,Yes,14,No,-,Yes,-,No,-,No,-,Yes,-,Yes,-,No,-,-,-,Skip,-,No,-,No,-,No,-,No,-,No,-
9/14/2015,No,-,Yes,-,Yes,8,No,-,Yes,-,Yes,-,Yes,-,Yes,-,Yes,-,Skip,-,Yes,-,Yes,-,No,-,Yes,10,No,-,No,-,No,-,No,-,Yes,-,Yes,-,No,-,-,-,Skip,-,Yes,-,Yes,-,No,-,No,-,No,-
9/15/2015,No,-,Yes,-,Skip,7.25,Yes,-,Yes,-,Yes,-,Yes,-,Yes,-,Yes,-,No,-,Skip,-,Yes,-,No,-,Skip,6.5,Yes,-,Yes,-,No,-,No,-,Yes,-,Yes,-,No,-,-,-,Skip,-,Yes,-,Yes,-,No,-,No,-,No,-
9/16/2015,No,-,Yes,-,Skip,7,No,-,No,-,Yes,-,Yes,-,Yes,-,Yes,-,No,-,Skip,-,Yes,-,No,-,No,6,No,-,No,-,No,-,No,-,Yes,-,Yes,-,No,-,-,-,Skip,-,Yes,-,Yes,-,No,-,No,-,Yes,-
